Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
ILLIKKALAM Lakeside Cottages,4.1,kumarakom,3-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen in some rooms,"₹3,724"
Treebo Trend Kuval Inn,4.2,pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Full-service laundry,Kid-friendly,NA,NA,"₹2,084"
Hotel Corporate Stay,4.0,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen in some rooms,Airport shuttle,"₹2,123"
ISKCON NVCC Pune,4.7,pune,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jugglers Backpack,4.7,pune,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen in rooms,Airport shuttle,Full-service laundry,Business center,"₹1,116"
Hyatt Pune,4.4,pune,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹9,701"
"The Central Park Hotel, Pune",4.1,pune,4-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Restaurant,"₹3,708"
"Four Points by Sheraton Hotel & Serviced Apartments, Pune",4.3,pune,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹6,796"
Hotel Phoenix,4.0,pune,3-star hotel,Free breakfast,Wi-Fi,Parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,"₹2,752"
Hotel anvisha executive,4.4,pune,NA,NA,NA,NA,NA,NA,NA,NA,NA,"₹1,067"
EMA Family Rooms,3.8,pune,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Kitchen,Cable TV,Paid parking,Free Wi-Fi,No crib,"₹1,241"
JM Four Hotel,3.9,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,"₹2,550"
Royal Orchid Central Pune,4.3,pune,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Bar,Restaurant,"₹5,085"
"StayBird - B Suite, Business Hotel",4.0,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen in some rooms,Airport shuttle,"₹2,512"
Hotel Sardar,3.5,pune,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen in some rooms,Full-service laundry,Kid-friendly,"₹1,344"
Sunny's World,4.2,pune,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Restaurant,Kitchen in some rooms,Full-service laundry,Accessible,"₹4,549"
Procida Hostel by Zero Jhanjhat,4.4,pune,Breakfast,Free Wi-Fi,Pool,Restaurant,Full-service laundry,NA,NA,NA,NA,₹921
The Oakwood,4.0,pune,4-star hotel,Free breakfast,Wi-Fi,Parking,Air conditioning,Restaurant,Room service,Kitchen in some rooms,Full-service laundry,"₹3,333"
Sheraton Grand Pune Bund Garden Hotel,4.5,pune,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Hot tub,Air conditioning,Fitness center,Spa,"₹9,435"
Pratikruti The Lakeview Resort,4.2,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Pet-friendly,Restaurant,Room service,"₹1,284"
Hotel Centro,4.4,pune,Breakfast ($),Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Kid-friendly,"₹2,607"
St Laurn Hotel,3.9,pune,4-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Bar,Restaurant,Room service,"₹4,381"
Cherry Tree | Rooms & Wi-Fi,3.6,pune,Sleeps 3,1 bedroom,Air conditioning,Fireplace,Free parking,Free Wi-Fi,No crib,No elevator,No fitness center,"₹1,588"
Fairfield by Marriott Pune Kharadi,4.3,pune,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,"₹7,280"
Sunny's World,4.2,pune,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Restaurant,Kitchen in some rooms,Full-service laundry,Accessible,"₹4,549"
Novotel Chennai Sipcot,4.7,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pools,Air conditioning,Fitness center,Bar,Restaurant,"₹5,145"
Park Plaza Chennai OMR,4.1,chennai,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹4,704"
"Beach Penthouse, Chennai",NA,chennai,House,Sleeps 2,1 bedroom,1 bathroom,2 beds,Air conditioning,Airport shuttle,Balcony,Beach access,"₹2,452"
Avenue 11 Boutique Residences | Rooms & Caretaker,4.0,chennai,Sleeps 8,3 bedrooms,Air conditioning,Fireplace,Paid parking,Free Wi-Fi,No crib,No elevator,No fitness center,"₹3,853"
"Olive Inn Luxurious 4-BHK Villa with Indoor Swimming Pool, Wifi, BBQ",3.4,chennai,Villa,Sleeps 10,4 bedrooms,7 bathrooms,Air conditioning,Indoor pool,Kitchen,Smoke-free,Free parking,"₹9,753"
Juhu Beach House ECR,4.5,chennai,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Beach access,Kitchen in some rooms,Full-service laundry,NA,NA,"₹4,965"
Umino Beach Resort Banquet Hall and Restaurant,4.3,chennai,Breakfast ($),Free Wi-Fi,Free parking,Pool,Air conditioning,Beach access,Restaurant,Room service,Full-service laundry,"₹3,677"
VGP Golden Beach Resort,3.9,chennai,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Hot tub,Air conditioning,Spa,Beach access,"₹4,267"
"Regenta Central RS, Chennai(OMR). 4 Star Hotel",4.2,chennai,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,"₹3,366"
Hanu Reddy Residences - SPP Gardens,NA,chennai,House,Sleeps 2,1 bedroom,1 bathroom,1 bed,Air conditioning,Crib,Smoke-free,No airport shuttle,"₹6,152"
Swarna Sudarshan Service Apartments Sholinganallur,NA,chennai,House,Sleeps 2,1 bedroom,1 bathroom,2 beds,Air conditioning,Airport shuttle,Kid-friendly,Crib,"₹1,884"
Turyaa Chennai,4.3,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹3,797"
The Blue House- Resorts In Ecr | Beach House In Ecr,4.4,chennai,Free parking,Pool,Air conditioning,Beach access,Kitchen in some rooms,Airport shuttle,Full-service laundry,Kid-friendly,NA,NA
Blue Lagoon Beach Resort,3.9,chennai,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Restaurant,Room service,Full-service laundry,"₹6,402"
Fairfield by Marriott Chennai OMR,4.2,chennai,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,"₹3,707"
Four Points by Sheraton Chennai OMR,4.2,chennai,4-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Restaurant,Room service,"₹5,053"
"Taj Club House, Chennai",4.4,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Pet-friendly,Fitness center,Spa,"₹7,552"
"Vivanta Chennai, IT Expressway",4.3,chennai,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,"₹5,485"
Ilara Hotels & Spa,4.6,chennai,3-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Air conditioning,Spa,Restaurant,Room service,"₹4,234"
ISKCON Chennai,4.6,chennai,Free Wi-Fi,Restaurant,Kitchen in some rooms,Full-service laundry,Accessible,Kid-friendly,NA,NA,NA,NA
Maroma Suites,4.5,chennai,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Accessible,"₹3,795"
Coral Seaside Resport,4.6,chennai,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Kitchen in some rooms,Full-service laundry,Accessible,Kid-friendly,Smoke-free property,NA
The Madras Grand - Hotel Egmore,4.5,chennai,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,Full-service laundry,"₹4,974"
"Holiday Inn Express Chennai Omr Thoraipakkam, an IHG Hotel",4.1,chennai,2-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,"₹3,859"
"Crowne Plaza New Delhi Rohini, an IHG Hotel",4.4,delhi,4-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Hot tub,Air conditioning,Fitness center,Spa,"₹7,825"
ट्राइडेंट होटल,4.6,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Hot tub,Air conditioning,Fitness center,Spa,"₹12,272"
Nu Delhi Homestay - Deluxe Double Room,4.6,delhi,House,Sleeps 2,1 bedroom,1 bathroom,2 beds,Air conditioning,Crib,Fitness center,Heating,"₹1,999"
The Leela Ambience Convention Hotel Delhi,4.5,delhi,5-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Hot tub,Air conditioning,Fitness center,Spa,"₹9,809"
Hotel City Park- Hotels in Delhi,4.2,delhi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,"₹5,376"
Hotel Mayda Residency By Mayda Hospitality Pvt. Ltd.,4.6,delhi,Breakfast ($),Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,"₹1,212"
JRD Pride,4.4,delhi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,"₹4,720"
Radisson Blu Hotel New Delhi Paschim Vihar,4.4,delhi,5-star hotel,Breakfast ($),Free Wi-Fi,Parking ($),Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹7,285"
IIDL Suites,4.3,delhi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,"₹5,720"
